x: -14.7067, y: 1.8595, theta: 66.12
Source: -12.2244, 9.7595, Error: 4.0804, Degree: 4
Source: -12.1443, 9.8397, Error: 4.0761, Degree: 4
Source: -12.2244, 9.8798, Error: 4.0911, Degree: 4
Source: -12.0641, 9.8397, Error: 4.0656, Degree: 4
Source: -12.2244, 9.8397, Error: 4.0874, Degree: 4
Source: -12.2244, 9.7996, Error: 4.0839, Degree: 4
Source: -12.3046, 9.7595, Error: 4.0920, Degree: 4
Source: -12.2244, 9.7194, Error: 4.0769, Degree: 4
Source: -12.1443, 9.6794, Error: 4.0632, Degree: 4
Source: -12.0641, 9.6393, Error: 4.0508, Degree: 4
Source: -12.1443, 9.5992, Error: 4.0572, Degree: 4
Source: -12.0641, 9.6794, Error: 4.0536, Degree: 4
Source: -12.0641, 9.5992, Error: 4.0481, Degree: 4
Source: -12.1443, 9.6393, Error: 4.0602, Degree: 4
Source: -12.0641, 9.5591, Error: 4.0455, Degree: 4
Source: -12.1443, 9.5190, Error: 4.0516, Degree: 4
Source: -12.0641, 9.5190, Error: 4.0429, Degree: 4
Source: -11.9840, 9.5591, Error: 4.0374, Degree: 4
Source: -11.9038, 9.5591, Error: 4.0301, Degree: 4
Source: -11.8236, 9.5992, Error: 4.0255, Degree: 4
Source: -11.7435, 9.6393, Error: 4.0214, Degree: 4
Source: -11.7435, 9.6794, Error: 4.0232, Degree: 4
Source: -11.6633, 9.5992, Error: 4.0145, Degree: 4
Source: -11.6633, 9.6393, Error: 4.0160, Degree: 4
Source: -11.6633, 9.5591, Error: 4.0131, Degree: 4
Source: -11.5030, 9.5591, Error: 4.0057, Degree: 4
Source: -11.5832, 9.5190, Error: 4.0079, Degree: 4
Source: -11.4228, 9.5190, Error: 4.0027, Degree: 4
Source: -11.3427, 9.5591, Error: 4.0016, Degree: 4
Source: -11.2625, 9.5190, Error: 4.0007, Degree: 4
Source: -11.2625, 9.4790, Error: 4.0007, Degree: 4
Source: -11.3427, 9.5190, Error: 4.0013, Degree: 4
Source: -11.3427, 9.4790, Error: 4.0010, Degree: 4
Source: -11.1824, 9.4389, Error: 4.0015, Degree: 4
Source: -11.1824, 9.4790, Error: 4.0012, Degree: 4
Source: -11.2625, 9.4389, Error: 4.0007, Degree: 4
Source: -11.3427, 9.4389, Error: 4.0008, Degree: 4
Source: -11.4228, 9.4389, Error: 4.0017, Degree: 4
Source: -11.1824, 9.3988, Error: 4.0019, Degree: 4
Source: -11.4228, 9.3988, Error: 4.0013, Degree: 4
Source: -11.4228, 9.4790, Error: 4.0022, Degree: 4
Source: -11.2625, 9.3988, Error: 4.0009, Degree: 4
Source: -11.1824, 9.5190, Error: 4.0009, Degree: 4
Source: -11.2625, 9.5591, Error: 4.0008, Degree: 4
Source: -11.1824, 9.5591, Error: 4.0008, Degree: 4
Source: -16.3126, -1.2224, Error: 4.0626, Degree: 6
Source: -16.2325, -1.1824, Error: 4.0526, Degree: 6
Source: -16.3126, -1.1824, Error: 4.0637, Degree: 6
Source: -16.3126, -1.1423, Error: 4.0647, Degree: 6
Source: -16.3928, -1.1824, Error: 4.0758, Degree: 6
Source: -16.4729, -1.1824, Error: 4.0890, Degree: 6
Source: -16.5531, -1.1423, Error: 4.1045, Degree: 6
Source: -16.6333, -1.1022, Error: 4.1212, Degree: 6
Source: -16.5531, -1.0621, Error: 4.1073, Degree: 6
Source: -16.6333, -1.0220, Error: 4.1231, Degree: 6
Source: -16.6333, -0.9820, Error: 4.1231, Degree: 6
Source: -16.5531, -1.0220, Error: 4.1086, Degree: 6
Source: -16.7134, -0.9419, Error: 4.1231, Degree: 6
Source: -16.7936, -0.9419, Error: 4.1231, Degree: 6
Source: -16.7936, -0.9018, Error: 4.1231, Degree: 6
Source: -16.7134, -0.8617, Error: 4.1231, Degree: 6
Source: -16.6333, -0.8617, Error: 4.1231, Degree: 6
Source: -16.5531, -0.9018, Error: 4.1129, Degree: 6
Source: -16.4729, -0.8617, Error: 4.0995, Degree: 6
Source: -16.3928, -0.8617, Error: 4.0856, Degree: 6
Source: -16.3928, -0.9018, Error: 4.0843, Degree: 6
Source: -16.3126, -0.8617, Error: 4.0727, Degree: 6
Source: -16.4729, -0.9018, Error: 4.0981, Degree: 6
Source: -16.3126, -0.9018, Error: 4.0715, Degree: 6
Source: -16.3126, -0.9419, Error: 4.0703, Degree: 6
Source: -16.3928, -0.9820, Error: 4.0818, Degree: 6
Source: -16.3928, -1.0220, Error: 4.0806, Degree: 6
Source: -16.3126, -1.0220, Error: 4.0681, Degree: 6
Source: -16.2325, -1.0621, Error: 4.0556, Degree: 6
Source: -16.2325, -1.1022, Error: 4.0545, Degree: 6
Source: -16.3126, -1.1022, Error: 4.0658, Degree: 6
Source: -16.3928, -1.1423, Error: 4.0770, Degree: 6
Source: -16.3928, -1.1022, Error: 4.0782, Degree: 6
Source: -16.4729, -1.1423, Error: 4.0902, Degree: 6
